"mz","rt","H2O_Mix1_150_450.mzXML","H2O_Mix10_150_450.mzXML","H2O_Mix11_150_450.mzXML","H2O_Mix12_150_450.mzXML","H2O_Mix2_150_450.mzXML","H2O_Mix3_150_450.mzXML","H2O_Mix4_150_450.mzXML","H2O_Mix5_150_450.mzXML","H2O_Mix6_150_450.mzXML","H2O_Mix7_150_450.mzXML","H2O_Mix8_150_450.mzXML","H2O_Mix9_150_450.mzXML","MeOH_2.mzXML","SampleID","ID","SMILES","Adducts","LOGP","formula","mserror","db"
159.040064493815,0.51114,100,100,100,100,100,2862.412109375,142360.75,100,100,100,100,41548.19140625,100,7,"910","OC(=O)C1CC(=O)NC(=O)N1","[M+H]+","0;-1.675","C5H6N2O4","0.143321213361553","STD"
159.051300048828,0.491516666666667,100,100,13558.875,100,2860.99194335938,1867.072265625,2252.78881835938,100,12313.06640625,100,240112.078125,100,100,11,"705","NC(=O)NC1NC(=O)NC1=O","[M+H]+","0;-1.169","C4H6N4O3","0.156860258304319","STD"
160.096969604492,1.81908333333333,2933.11157226562,450356.9375,2307.85546875,2339.78247070312,1719.73620605469,3033.42797851562,98775.84375,2592.7138671875,3875.94189453125,2305.7802734375,2184.4580078125,2698.84643554688,2241.037109375,2,"233","CC(C)CC(=O)NCC(O)=O","[M+H]+","0;0.422","C7H13NO3","0.882618155328604","STD"
160.133422851562,1.60890833333333,100,1695.48327636719,1567.02734375,11625.6953125,2306.84741210938,1453.39013671875,1767.943359375,12445.193359375,7529763,32071.5859375,3641.42504882812,7577048.5,1164.86657714844,12,"412","CCCCCCC(N)C(O)=O","[M+H]+","0;-0.19","C8H17NO2","1.30548362901886","STD"
161.0595703125,3.44483333333333,16913.615234375,32946.71875,34585.7265625,94736.453125,159757.875,282363.25,30728.60546875,24476.548828125,36540.66015625,41422.7734375,83473560,59000.73828125,29256.51953125,11,"325","CC1=CC2=C(OC(=O)C=C2)C=C1","[M+H]+","0;1.414","C10H8O2","-0.895243292331904","STD"
161.080800374349,2.40945,7585.22216796875,3588.12036132812,5385.75048828125,969469.1875,8167.99951171875,5261.720703125,3391.84594726562,5985.30859375,7122.8125,5607.56640625,22250.251953125,5801.31396484375,5474.75537109375,4,"98;190;580;942","C[C@@H](CCC(O)=O)CC(O)=O;CC(C)(CC(O)=O)CC(O)=O;COC(=O)CCCCC(O)=O;OC(=O)CCCCCC(O)=O","[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;0.514;0.762;0.327;0.575","C7H12O4;C7H12O4;C7H12O4;C7H12O4","-0.270210049226033;-0.270210049226033;-0.270210049226033;-0.270210049226033","STD;STD;STD;STD"
161.107442220052,1.87861666666667,100,1711.27734375,231654.953125,100,554005.0625,100,100,100,100,10438.1220703125,100,100,100,5,"787","NCCC1=CNC2=CC=CC=C12","[M+H]+","0;0.658","C10H12N2","0.675450187257231","STD"
162.05507405599,2.82148333333333,54462.828125,410222.1875,3779.45556640625,4450.99169921875,4488.54541015625,544620.75,46738.20703125,4715.9296875,146275.78125,2050808.75,42585.91015625,5794.85302734375,3428.265625,10,"903;906","OC(=O)C1=CC2=C(N1)C=CC=C2;OC(=O)C1=CNC2=CC=CC=C12","[M+H]+;[M+H]+","0;1.051;1.385","C9H7NO2;C9H7NO2","0.68221245552132;0.68221245552132","STD;STD"
162.05815633138,0.53605,100,353101.625,100,100,100,2401259.5,100,100,27894.29296875,100,1328.12023925781,100,1229.66271972656,6,"718","NC(CSCC=C)C(O)=O","[M+H]+","0;-1.861","C6H11NO2S","-1.09817749397287","STD"
162.076354980469,0.45972,13131.35546875,46184.265625,6715.63623046875,5066.34912109375,15668.115234375,1782970.625,4387.82958984375,9102.298828125,4824563.5,12801.791015625,6569.66162109375,3896381,4972.41162109375,9,"712","NC(CCCC(O)=O)C(O)=O","[M+H]+","0;-2.991","C6H11NO4","1.61763552145248","STD"
162.091567993164,2.91976666666667,4921.54736328125,10686.693359375,3034.82373046875,4161.08642578125,1311041.625,38852.421875,339484.28125,3237.44848632812,7940.6728515625,193687.625,8164813,24129.88671875,2853.7548828125,11,"1073","OCCC1=CNC2=CC=CC=C12","[M+H]+","0;0.725","C10H11NO","1.35104599643812","STD"
162.112503051758,0.475863333333333,100,100,100,100,100,100,100,100,19620608,2985.57421875,1781.19714355469,100,2854.46118164062,9,"117","C[N+](C)(C)C[C@H](O)CC([O-])=O","[M+H]+","0;-1.741","C7H15NO3","0.152065741735305","STD"
163.111643473307,5.05001666666667,68744.03125,72074.84375,78035.640625,538455.75,73105.9765625,1389280.875,78514.375,9592553,92647.5625,75337.8125,67001.703125,68269.59375,78191.453125,8,"384","CCCCC(=O)C1=CC=CC=C1","[M+H]+","0;2.635","C11H14O","-0.653703749960779","STD"
163.122884114583,0.588843333333333,5083.55810546875,4479.15673828125,25187102,20813.0546875,4459.6806640625,222621.015625,2479.85595703125,13618.37890625,1778.51452636719,2514.86743164062,2046.76623535156,2075.36181640625,2159.02124023438,3,"556","CN1CCC[C@H]1C1=CN=CC=C1","[M+H]+","0;0.274","C10H14N2","-0.609267164110006","STD"
165.054595947266,4.17718333333333,31613254,925866,909041.3125,601114.5625,432134.5625,667868.5625,345674.9375,457526.40625,837628.9375,1077829,842030.4375,828454.6875,157501.8125,1,"865;866;874","OC(=O)\C=C\C1=CC=C(O)C=C1;OC(=O)\C=C\C1=CC=CC(O)=C1;OC(=O)C(=O)CC1=CC=CC=C1","[M+H]+;[M+H]+;[M+H]+","0;0.751;0.751;0.907","C9H8O3;C9H8O3;C9H8O3","-0.200859199460036;-0.200859199460036;-0.200859199460036","STD;STD;STD"
165.076034545898,3.12246666666667,100,153734.765625,3106.28686523438,100,4291.22705078125,100,100,100,4185.375,5368.32421875,200762.421875,4529.04931640625,100,11,"106;107;967","C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O;C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O;OC[C@@H](O)[C@@H](O)[C@H](O)CC=O","[M+H]+;[M+H]+;[M+H]+","0;-0.994;-0.994;-2.561","C6H12O5;C6H12O5;C6H12O5","1.67223485080838;1.67223485080838;1.67223485080838","STD;STD;STD"
165.127538045247,3.94121666666667,147058.109375,222774.859375,600128.5,148324.140625,51700.24609375,41694.80859375,42156.75390625,97770.6328125,42191.171875,58686.6015625,38802.2109375,5438542.5,37013.23046875,12,"196","CC(C)(O)CCC1=CC=CC=C1","[M+H]+","0;2.619","C11H16O","0.835386081860786","STD"
166.072296142578,0.538853333333333,14233.1845703125,1817.77026367188,2035.87414550781,1685.75744628906,4890.91552734375,3270.66870117188,4055.89111328125,3790.35205078125,3226.41479492188,2853795.5,6777607.5,19768.681640625,2505.42993164062,11,"550","CN1C=NC2=C1C(=O)N=C(N)N2","[M+H]+","0;0.106","C6H7N5O","-0.293591544860073","STD"
166.086390177409,3.10191666666667,14276.4853515625,20167.09765625,10927.1484375,7714.31640625,3677007.25,29534.455078125,29732.654296875,484115.8125,18594.29296875,14069.3193359375,10371.302734375,11464.58203125,11568.384765625,5,"508;657","CCOC(=O)C1=CC=C(N)C=C1;N[C@@H](CC1=CC=CC=C1)C(O)=O","[M+H]+;[M+H]+","0;0.601;-1.575","C9H11NO2;C9H11NO2","0.762117888481868;0.762117888481868","STD;STD"
167.056437174479,0.919735,39499.59765625,2305.36962890625,2008.67944335938,1710.70068359375,100,100,100,100,5075323.5,22801.16015625,34019.2734375,100,1701.27954101562,9,"553","CN1C2=C(NC=N2)C(=O)NC1=O","[M+H]+","0;-0.512","C6H6N4O2","0.45897350797737","STD"
168.043746948242,0.488623333333333,100,100,100,100,100,100,100,100,100,100,100,927845.0625,100,12,"723","NC(N)=NCCS(O)(=O)=O","[M+H]+","0;-1.956","C3H9N3O3S","0.00028707990201911","STD"
168.065490722656,0.535813333333333,8819.2861328125,6411.84375,5749.08984375,5697.53271484375,7217.46728515625,952118.1875,16302.654296875,6869.86328125,53262.2890625,184459.703125,10391.595703125,3792324.5,5987.25244140625,12,"336","CC1=NC=C(CO)C(C=O)=C1O","[M+H]+","0;-0.754","C8H9NO3","-0.222992500347611","STD"
168.101694742839,0.529176666666667,5822.19580078125,5818.7373046875,3238.38793945312,4151.640625,897051.625,674696,3889.17797851562,12952.0791015625,5708.62255859375,3291.03466796875,4626.017578125,24285.8125,3612.70092773438,5,"564;594","CNCC(O)C1=CC=C(O)C=C1;COC1=C(O)C=CC(CCN)=C1","[M+H]+;[M+H]+","0;-0.404;-0.0580000000000001","C9H13NO2;C9H13NO2","-1.30252798066686;-1.30252798066686","STD;STD"
169.049397786458,3.23861666666667,438493.65625,8664.7060546875,16144.5771484375,20800.138671875,7739512.5,230084.484375,92110.53125,12635.3740234375,9410.0732421875,9562.3388671875,859577.9375,8984.4677734375,9023.361328125,5,"149;589;604;919;920;959","CC(=O)C1=C(O)C=C(C)OC1=O;COC1=C(O)C=CC(=C1)C(O)=O;COC1=CC(C(O)=O)=C(O)C=C1;OC(=O)CC1=C(O)C=CC(O)=C1;OC(=O)CC1=CC(O)=C(O)C=C1;OC(C(O)=O)C1=CC=C(O)C=C1","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;0.797;0.24;0.937;0.036;0.197;-0.873999999999999","C8H8O4;C8H8O4;C8H8O4;C8H8O4;C8H8O4;C8H8O4","-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446;-0.863141448000446","STD;STD;STD;STD;STD;STD"
