mz,rt,H2O_Mix1_150_450.mzXML,H2O_Mix10_150_450.mzXML,H2O_Mix11_150_450.mzXML,H2O_Mix12_150_450.mzXML,H2O_Mix2_150_450.mzXML,H2O_Mix3_150_450.mzXML,H2O_Mix4_150_450.mzXML,H2O_Mix5_150_450.mzXML,H2O_Mix6_150_450.mzXML,H2O_Mix7_150_450.mzXML,H2O_Mix8_150_450.mzXML,H2O_Mix9_150_450.mzXML,MeOH_2.mzXML,SampleID,ID,SMILES,Adducts,LOGP,formula,mserror,db,rtscore,msscore,allscore,Final
158.1175232,0.60916,8517051,5263.865723,8108.17334,6029.790527,18191.02148,8386.698242,199864.0938,8102.067383,6097.410156,7868.814453,18102.34961,5414.532227,5343.493164,1,729,NC[C@H]1CC[C@@H](CC1)C(O)=O,[M+H]+,0.298,C8H15NO2,-0.256180594,STD,-1.513158894,-0.016407124,-1.529566018,
159.0400645,0.51114,100,100,100,100,100,2862.412109,142360.75,100,100,100,100,41548.19141,100,7,910,OC(=O)C1CC(=O)NC(=O)N1,[M+H]+,-1.675,C5H6N2O4,0.143321213,STD,-0.489251036,-0.005135243,-0.494386278,
159.0513,0.491516667,100,100,13558.875,100,2860.991943,1867.072266,2252.788818,100,12313.06641,100,240112.0781,100,100,11,705,NC(=O)NC1NC(=O)NC1=O,[M+H]+,-1.169,C4H6N4O3,0.156860258,STD,-0.744536472,-0.006151285,-0.750687757,
160.0969696,1.819083333,2933.111572,450356.9375,2307.855469,2339.782471,1719.736206,3033.427979,98775.84375,2592.713867,3875.941895,2305.780273,2184.458008,2698.846436,2241.037109,2,233,CC(C)CC(=O)NCC(O)=O,[M+H]+,0.422,C7H13NO3,0.882618155,STD,-0.279823875,-0.194753702,-0.474577577,
160.1334229,1.608908333,100,1695.483276,1567.027344,11625.69531,2306.847412,1453.390137,1767.943359,12445.19336,7529763,32071.58594,3641.425049,7577048.5,1164.866577,12,412,CCCCCCC(N)C(O)=O,[M+H]+,-0.19,C8H17NO2,1.305483629,STD,-0.224744268,-0.426071876,-0.650816144,
161.0595703,3.444833333,16913.61523,32946.71875,34585.72656,94736.45313,159757.875,282363.25,30728.60547,24476.54883,36540.66016,41422.77344,83473560,59000.73828,29256.51953,11,325,CC1=CC2=C(OC(=O)C=C2)C=C1,[M+H]+,1.414,C10H8O2,-0.895243292,STD,-0.027586525,-0.200365138,-0.227951663,
161.0808004,2.40945,7585.222168,3588.120361,5385.750488,969469.1875,8167.999512,5261.720703,3391.845947,5985.308594,7122.8125,5607.566406,22250.25195,5801.313965,5474.755371,4,98;190;580;942,C[C@@H](CCC(O)=O)CC(O)=O;CC(C)(CC(O)=O)CC(O)=O;COC(=O)CCCCC(O)=O;OC(=O)CCCCCC(O)=O,[M+H]+;[M+H]+;[M+H]+;[M+H]+,0.514;0.762;0.327;0.575,C7H12O4;C7H12O4;C7H12O4;C7H12O4,-0.270210049226033;-0.270210049226033;-0.270210049226033;-0.270210049226033,STD;STD;STD;STD,-0.0385360814467009;-0.0731829351978286;-0.0196963853106836;-0.046036494189496,-0.0182533676756838;-0.0182533676756838;-0.0182533676756838;-0.0182533676756838,-0.0567894491223847;-0.0914363028735124;-0.0379497529863674;-0.0642898618651798,
161.1074422,1.878616667,100,1711.277344,231654.9531,100,554005.0625,100,100,100,100,10438.12207,100,100,100,5,787,NCCC1=CNC2=CC=CC=C12,[M+H]+,0.658,C10H12N2,0.675450187,STD,-0.317291085,-0.114058239,-0.431349324,
162.0550741,2.821483333,54462.82813,410222.1875,3779.455566,4450.991699,4488.54541,544620.75,46738.20703,4715.929688,146275.7813,2050808.75,42585.91016,5794.853027,3428.265625,10,903;906,OC(=O)C1=CC2=C(N1)C=CC=C2;OC(=O)C1=CNC2=CC=CC=C12,[M+H]+;[M+H]+,1.051;1.385,C9H7NO2;C9H7NO2,0.68221245552132;0.68221245552132,STD;STD,-0.0111534809862184;-0.0422565832220838,-0.116353458617107;-0.116353458617107,-0.127506939603326;-0.158610041839191,
162.0581563,0.53605,100,353101.625,100,100,100,2401259.5,100,100,27894.29297,100,1328.120239,100,1229.66272,6,718,NC(CSCC=C)C(O)=O,[M+H]+,-1.861,C6H11NO2S,-1.098177494,STD,-0.395141811,-0.301498452,-0.696640263,
