"mz","rt","H2O_Mix1.mzXML","H2O_Mix10.mzXML","H2O_Mix11.mzXML","H2O_Mix12.mzXML","H2O_Mix2.mzXML","H2O_Mix3.mzXML","H2O_Mix4.mzXML","H2O_Mix5.mzXML","H2O_Mix6.mzXML","H2O_Mix7.mzXML","H2O_Mix8.mzXML","H2O_Mix9.mzXML","MeOH_2.mzXML","SampleID","PrimaryIso","ID","SMILES","Adducts","LOGP","formula","mserror","db","Score","ranking"
162.112503051758,0.475863333333333,100,100,100,100,100,100,100,100,19620608,2985.57421875,1781.19714355469,100,2854.46118164062,9,162.112503051758,"117","C[N+](C)(C)C[C@H](O)CC([O-])=O","[M+H]+","-1.7410000000000001","C7H15NO3","0.15206574050805899","STD","-6.48126529999671","1"
163.11149597168,8.71786666666667,272373,245223.78125,270034.25,267904.90625,252769.21875,271427,255485.140625,255473.75,249916.109375,256714.265625,265535.65625,285154.71875,258564.5625,12,163.11149597168,"384","CCCCC(=O)C1=CC=CC=C1","[M+H]+","2.6349999999999998","C11H14O","-1.5580037372434199","STD","-98.5266421191424","1"
163.111643473307,5.05001666666667,68744.03125,72074.84375,78035.640625,538455.75,73105.9765625,1389280.875,78514.375,9592553,92647.5625,75337.8125,67001.703125,68269.59375,78191.453125,8,163.111643473307,"384","CCCCC(=O)C1=CC=CC=C1","[M+H]+","2.6349999999999998","C11H14O","-0.65370374821830801","STD","-6.51501302164581","1"
165.127288818359,8.47171666666667,46516.484375,41670.51171875,40116.13671875,42335.35546875,48819.0625,45930.8359375,45597.16796875,43070.7890625,41117.86328125,43752.91015625,35701.953125,35446.796875,37333.8359375,5,165.127288818359,"196","CC(C)(O)CCC1=CC=CC=C1","[M+H]+","2.6190000000000002","C11H16O","-0.67391429613960896","STD","-87.4258127836619","1"
165.127538045247,3.94121666666667,147058.109375,222774.859375,600128.5,148324.140625,51700.24609375,41694.80859375,42156.75390625,97770.6328125,42191.171875,58686.6015625,38802.2109375,5438542.5,37013.23046875,12,165.127538045247,"196","CC(C)(O)CCC1=CC=CC=C1","[M+H]+","2.6190000000000002","C11H16O","0.83538608427046002","STD","-0.768020376246514","1"
165.127126057943,9.4203,38356.0234375,32766.580078125,34805.953125,36011.6640625,39341.859375,35466.5078125,38611.35546875,33895.4140625,39453.70703125,35267.40234375,34360.04296875,41911.02734375,35832.171875,12,165.127126057943,"196","CC(C)(O)CCC1=CC=CC=C1","[M+H]+","2.6190000000000002","C11H16O","-1.65958230980474","STD","-128.710526039693","1"
166.072235107422,0.538841666666667,5506.990234375,100,1458.77026367188,1677.94714355469,3859.5654296875,2226.357421875,2652.23852539062,2981.74072265625,1355.52575683594,13311.794921875,9906.7705078125,1659.7080078125,1172.74450683594,10,166.072235107422,"550","CN1C=NC2=C1C(=O)N=C(N)N2","[M+H]+","0.106","C6H7N5O","-0.66111338869049396","STD","-17.7642486212929","1"
173.092030843099,0.526425,100,2289.255859375,2116.09106445312,1944.47595214844,2395.3046875,19905.8671875,25627370,100,610870.4375,2355.55810546875,30356.22265625,1421.31420898438,1845.10571289062,7,173.092030843099,"770","NCC(=O)N1CCCC1C(O)=O","[M+H]+","-3.427","C7H12N2O3","-0.26839422248154499","STD","-0.786412021925473","1"
174.055119832357,1.00394333333333,2771290.75,4589.28125,5325.5869140625,5186.8916015625,18279.4453125,9046.7509765625,34131132,9620.025390625,5981.6611328125,26004.08984375,633031.5625,92278.2890625,5890.47021484375,7,174.055119832357,"908","OC(=O)C1=NC2=C(C=CC=C2)C=C1","[M+H]+","0.40699999999999997","C10H7NO2","0.89817729545442704","STD","-13.1769634070517","1"
174.112609863281,2.65355,4233.30322265625,5330874,3833.95922851562,3660.72192382812,5286.08544921875,5574.66748046875,3391.90454101562,58355.67578125,4182.396484375,3731.87133789062,5768.8515625,4589.98046875,3612.04345703125,2,174.112609863281,"221","CC(C)C[C@H](NC(C)=O)C(O)=O","[M+H]+","1.0529999999999999","C8H15NO3","0.75504744523047296","STD","-1.25740064999306","1"
176.091715494792,0.535813333333333,100,5200.34765625,100,1513.03979492188,44430.40234375,18914.220703125,100,100,1511.64587402344,1875.10412597656,27519.306640625,1827269.625,1735.03295898438,12,176.091715494792,"713","NC(CCCCC(O)=O)C(O)=O","[M+H]+","-2.633","C7H13NO4","-0.155630310349571","STD","-2.51290162322795","1"
179.106521606445,4.18228333333333,119442.8515625,254272.859375,255770.84375,243931.859375,152205.515625,232242.96875,248123.859375,782178.0625,243404.453125,228491.40625,215939.375,266530.65625,246882.6875,8,179.106521606445,"941","OC(=O)CCCCC1=CC=CC=C1","[M+H]+","2.7709999999999999","C11H14O2","-0.79892989596307595","STD","-1.00214002293068","1"
179.106506347656,7.59893333333333,118081.4296875,82827.0859375,83645.203125,78795.7109375,85780.1640625,104462.2578125,87909.1015625,90646.703125,78103.2109375,94979.96875,86895.640625,80691.3671875,95946.328125,1,179.106506347656,"941","OC(=O)CCCCC1=CC=CC=C1","[M+H]+","2.7709999999999999","C11H14O2","-0.88412390462507595","STD","-56.0832172440632","1"
180.032501220703,0.495906666666667,6816.64404296875,100,100,13366.0302734375,100,5692.4521484375,194387.703125,100,4358.53125,2677.31201171875,100,1788.62609863281,2255.52075195312,7,180.032501220703,"717","NC(CSCC(O)=O)C(O)=O","[M+H]+","-3.0939999999999999","C5H9NO4S","-6.8206000521784396E-2","STD","-1.49613455950095","1"
